GNSS TIME,TIME STAMPING
03:32:38,2023-10-26 03:32:38
03:32:39,2023-10-26 03:32:39
03:32:40,2023-10-26 03:32:40
03:32:41,2023-10-26 03:32:41
03:32:42,2023-10-26 03:32:42
03:32:43,2023-10-26 03:32:43
03:32:44,2023-10-26 03:32:44
03:32:45,2023-10-26 03:32:45
03:32:46,2023-10-26 03:32:46
03:32:47,2023-10-26 03:32:47
03:32:48,2023-10-26 03:32:48
03:32:49,2023-10-26 03:32:49
03:32:50,2023-10-26 03:32:50
03:32:51,2023-10-26 03:32:51
03:32:52,2023-10-26 03:32:52
03:32:53,2023-10-26 03:32:53
03:32:54,2023-10-26 03:32:54
03:32:55,2023-10-26 03:32:55
03:32:56,2023-10-26 03:32:56
03:32:57,2023-10-26 03:32:57
03:32:58,2023-10-26 03:32:58
03:32:59,2023-10-26 03:32:59
03:33:00,2023-10-26 03:33:00
03:33:01,2023-10-26 03:33:01
03:33:02,2023-10-26 03:33:02
03:33:03,2023-10-26 03:33:03
03:33:04,2023-10-26 03:33:04
03:33:05,2023-10-26 03:33:05
03:33:06,2023-10-26 03:33:06
03:33:07,2023-10-26 03:33:07
03:33:08,2023-10-26 03:33:08
03:33:09,2023-10-26 03:33:09
03:33:10,2023-10-26 03:33:10
03:33:11,2023-10-26 03:33:11
03:33:12,2023-10-26 03:33:12
03:33:13,2023-10-26 03:33:13
03:33:14,2023-10-26 03:33:14
03:36:07,2023-10-26 03:36:07
03:36:08,2023-10-26 03:36:08
03:36:09,2023-10-26 03:36:09
03:36:10,2023-10-26 03:36:10
03:36:11,2023-10-26 03:36:11
03:36:12,2023-10-26 03:36:12
03:36:13,2023-10-26 03:36:13
